No,Key Type,Table Name,Field Name,Referenced Table,Referenced Field,Relationship,Description
1,PRIMARY KEY,akun_bank_koperasi,akun_bank_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel akun_bank_koperasi dapat diidentifikasi secara unik.
2,PRIMARY KEY,anggota_koperasi,anggota_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel anggota_koperasi dapat diidentifikasi secara unik.
3,PRIMARY KEY,aset_koperasi,aset_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel aset_koperasi dapat diidentifikasi secara unik.
4,PRIMARY KEY,barang_keluar_produk,__row_id,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel barang_keluar_produk dapat diidentifikasi secara unik.
5,PRIMARY KEY,barang_masuk_produk,barang_masuk_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel barang_masuk_produk dapat diidentifikasi secara unik.
6,PRIMARY KEY,dokumen_koperasi,dokumen_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel dokumen_koperasi dapat diidentifikasi secara unik.
7,PRIMARY KEY,gerai_koperasi,gerai_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel gerai_koperasi dapat diidentifikasi secara unik.
8,PRIMARY KEY,inventaris_produk,inventaris_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel inventaris_produk dapat diidentifikasi secara unik.
9,PRIMARY KEY,karyawan_koperasi,karyawan_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel karyawan_koperasi dapat diidentifikasi secara unik.
10,PRIMARY KEY,kbli_koperasi,__row_id,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel kbli_koperasi dapat diidentifikasi secara unik.
11,PRIMARY KEY,modal_koperasi,modal_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel modal_koperasi dapat diidentifikasi secara unik.
12,PRIMARY KEY,pengajuan_domain,domain_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel pengajuan_domain dapat diidentifikasi secara unik.
13,PRIMARY KEY,pengajuan_kemitraan,pengajuan_kemitraan_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel pengajuan_kemitraan dapat diidentifikasi secara unik.
14,PRIMARY KEY,pengajuan_pembiayaan,pengajuan_pembiayaan_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel pengajuan_pembiayaan dapat diidentifikasi secara unik.
15,PRIMARY KEY,pengajuan_rekening_bank,pengajuan_rekening_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel pengajuan_rekening_bank dapat diidentifikasi secara unik.
16,PRIMARY KEY,pengurus_koperasi,pengurus_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel pengurus_koperasi dapat diidentifikasi secara unik.
17,PRIMARY KEY,produk_koperasi,produk_sample_id,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel produk_koperasi dapat diidentifikasi secara unik.
18,PRIMARY KEY,profil_koperasi,koperasi_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel profil_koperasi dapat diidentifikasi secara unik.
19,PRIMARY KEY,rat_koperasi,rat_sample_id,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel rat_koperasi dapat diidentifikasi secara unik.
20,PRIMARY KEY,referensi_dokumen_koperasi,jenis_dokumen_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel referensi_dokumen_koperasi dapat diidentifikasi secara unik.
21,PRIMARY KEY,referensi_gerai_koperasi,jenis_gerai_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel referensi_gerai_koperasi dapat diidentifikasi secara unik.
22,PRIMARY KEY,referensi_komoditas_desa,komoditas_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel referensi_komoditas_desa dapat diidentifikasi secara unik.
23,PRIMARY KEY,referensi_koperasi_wilayah,koperasi_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel referensi_koperasi_wilayah dapat diidentifikasi secara unik.
24,PRIMARY KEY,referensi_profil_desa,kode_wilayah,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel referensi_profil_desa dapat diidentifikasi secara unik.
25,PRIMARY KEY,referensi_wilayah,kode_wilayah,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel referensi_wilayah dapat diidentifikasi secara unik.
26,PRIMARY KEY,simpanan_anggota,simpanan_ref,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel simpanan_anggota dapat diidentifikasi secara unik.
27,PRIMARY KEY,transaksi_penjualan,transaksi_sample_id,,,Satu nilai unik per record,Primary key yang memastikan setiap record pada tabel transaksi_penjualan dapat diidentifikasi secara unik.
28,FOREIGN KEY,akun_bank_koperasi,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan akun_bank_koperasi.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join akun_bank_koperasi.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
29,FOREIGN KEY,anggota_koperasi,kode_wilayah,referensi_wilayah,kode_wilayah,Parent 1 : Child 0..N,Foreign key untuk menghubungkan anggota_koperasi.kode_wilayah dengan referensi_wilayah.kode_wilayah. Gunakan kondisi join anggota_koperasi.kode_wilayah = referensi_wilayah.kode_wilayah.
30,FOREIGN KEY,anggota_koperasi,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan anggota_koperasi.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join anggota_koperasi.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
31,FOREIGN KEY,aset_koperasi,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan aset_koperasi.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join aset_koperasi.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
32,FOREIGN KEY,barang_keluar_produk,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan barang_keluar_produk.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join barang_keluar_produk.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
33,FOREIGN KEY,barang_keluar_produk,produk_sample_id,produk_koperasi,produk_sample_id,Parent 1 : Child 0..N,Foreign key untuk menghubungkan barang_keluar_produk.produk_sample_id dengan produk_koperasi.produk_sample_id. Gunakan kondisi join barang_keluar_produk.produk_sample_id = produk_koperasi.produk_sample_id.
34,FOREIGN KEY,barang_keluar_produk,transaksi_sample_id,transaksi_penjualan,transaksi_sample_id,Parent 1 : Child 0..N,Foreign key untuk menghubungkan barang_keluar_produk.transaksi_sample_id dengan transaksi_penjualan.transaksi_sample_id. Gunakan kondisi join barang_keluar_produk.transaksi_sample_id = transaksi_penjualan.transaksi_sample_id.
35,FOREIGN KEY,barang_masuk_produk,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan barang_masuk_produk.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join barang_masuk_produk.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
36,FOREIGN KEY,barang_masuk_produk,produk_sample_id,produk_koperasi,produk_sample_id,Parent 1 : Child 0..N,Foreign key untuk menghubungkan barang_masuk_produk.produk_sample_id dengan produk_koperasi.produk_sample_id. Gunakan kondisi join barang_masuk_produk.produk_sample_id = produk_koperasi.produk_sample_id.
37,FOREIGN KEY,dokumen_koperasi,jenis_dokumen_ref,referensi_dokumen_koperasi,jenis_dokumen_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan dokumen_koperasi.jenis_dokumen_ref dengan referensi_dokumen_koperasi.jenis_dokumen_ref. Gunakan kondisi join dokumen_koperasi.jenis_dokumen_ref = referensi_dokumen_koperasi.jenis_dokumen_ref.
38,FOREIGN KEY,dokumen_koperasi,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan dokumen_koperasi.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join dokumen_koperasi.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
39,FOREIGN KEY,gerai_koperasi,jenis_gerai_ref,referensi_gerai_koperasi,jenis_gerai_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan gerai_koperasi.jenis_gerai_ref dengan referensi_gerai_koperasi.jenis_gerai_ref. Gunakan kondisi join gerai_koperasi.jenis_gerai_ref = referensi_gerai_koperasi.jenis_gerai_ref.
40,FOREIGN KEY,gerai_koperasi,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan gerai_koperasi.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join gerai_koperasi.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
41,FOREIGN KEY,inventaris_produk,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan inventaris_produk.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join inventaris_produk.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
42,FOREIGN KEY,inventaris_produk,produk_sample_id,produk_koperasi,produk_sample_id,Parent 1 : Child 0..N,Foreign key untuk menghubungkan inventaris_produk.produk_sample_id dengan produk_koperasi.produk_sample_id. Gunakan kondisi join inventaris_produk.produk_sample_id = produk_koperasi.produk_sample_id.
43,FOREIGN KEY,karyawan_koperasi,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan karyawan_koperasi.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join karyawan_koperasi.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
44,FOREIGN KEY,kbli_koperasi,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan kbli_koperasi.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join kbli_koperasi.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
45,FOREIGN KEY,modal_koperasi,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan modal_koperasi.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join modal_koperasi.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
46,FOREIGN KEY,pengajuan_domain,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan pengajuan_domain.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join pengajuan_domain.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
47,FOREIGN KEY,pengajuan_kemitraan,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan pengajuan_kemitraan.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join pengajuan_kemitraan.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
48,FOREIGN KEY,pengajuan_pembiayaan,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan pengajuan_pembiayaan.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join pengajuan_pembiayaan.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
49,FOREIGN KEY,pengajuan_rekening_bank,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan pengajuan_rekening_bank.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join pengajuan_rekening_bank.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
50,FOREIGN KEY,pengurus_koperasi,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan pengurus_koperasi.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join pengurus_koperasi.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
51,FOREIGN KEY,produk_koperasi,koperasi_ref,referensi_koperasi_wilayah,koperasi_ref,Parent 1 : Child 0..N,Foreign key untuk menghubungkan produk_koperasi.koperasi_ref dengan referensi_koperasi_wilayah.koperasi_ref. Gunakan kondisi join produk_koperasi.koperasi_ref = referensi_koperasi_wilayah.koperasi_ref.
